entity,slug,code,year,population,source_url
Dr Congo,dr-congo,dr-congo,2024,109463978,https://worldpopulationreview.com/countries/dr-congo
Dr Congo,dr-congo,dr-congo,2025,112832473,https://worldpopulationreview.com/countries/dr-congo
Dr Congo,dr-congo,dr-congo,2026,116452162,https://worldpopulationreview.com/countries/dr-congo
Ecuador,ecuador,ecuador,2024,18141130,https://worldpopulationreview.com/countries/ecuador
Ecuador,ecuador,ecuador,2025,18289896,https://worldpopulationreview.com/countries/ecuador
Ecuador,ecuador,ecuador,2026,18444506,https://worldpopulationreview.com/countries/ecuador
Egypt,egypt,egypt,2024,116555821,https://worldpopulationreview.com/countries/egypt
Egypt,egypt,egypt,2025,118365995,https://worldpopulationreview.com/countries/egypt
Egypt,egypt,egypt,2026,120101175,https://worldpopulationreview.com/countries/egypt
El Salvador,el-salvador,el-salvador,2024,6339337,https://worldpopulationreview.com/countries/el-salvador
El Salvador,el-salvador,el-salvador,2025,6365503,https://worldpopulationreview.com/countries/el-salvador
El Salvador,el-salvador,el-salvador,2026,6391253,https://worldpopulationreview.com/countries/el-salvador
Equatorial Guinea,equatorial-guinea,equatorial-guinea,2024,1894038,https://worldpopulationreview.com/countries/equatorial-guinea
Equatorial Guinea,equatorial-guinea,equatorial-guinea,2025,1938431,https://worldpopulationreview.com/countries/equatorial-guinea
Equatorial Guinea,equatorial-guinea,equatorial-guinea,2026,1984468,https://worldpopulationreview.com/countries/equatorial-guinea
Eritrea,eritrea,eritrea,2024,3543857,https://worldpopulationreview.com/countries/eritrea
Eritrea,eritrea,eritrea,2025,3607003,https://worldpopulationreview.com/countries/eritrea
Eritrea,eritrea,eritrea,2026,3682669,https://worldpopulationreview.com/countries/eritrea
Estonia,estonia,estonia,2024,1341319,https://worldpopulationreview.com/countries/estonia
Estonia,estonia,estonia,2025,1344232,https://worldpopulationreview.com/countries/estonia
Estonia,estonia,estonia,2026,1331062,https://worldpopulationreview.com/countries/estonia
Eswatini,eswatini,eswatini,2024,1243485,https://worldpopulationreview.com/countries/eswatini
Eswatini,eswatini,eswatini,2025,1256174,https://worldpopulationreview.com/countries/eswatini
Eswatini,eswatini,eswatini,2026,1269859,https://worldpopulationreview.com/countries/eswatini
Ethiopia,ethiopia,ethiopia,2024,132161175,https://worldpopulationreview.com/countries/ethiopia
Ethiopia,ethiopia,ethiopia,2025,135472051,https://worldpopulationreview.com/countries/ethiopia
Ethiopia,ethiopia,ethiopia,2026,138902185,https://worldpopulationreview.com/countries/ethiopia
Falkland Islands,falkland-islands,falkland-islands,2024,3476,https://worldpopulationreview.com/countries/falkland-islands
Falkland Islands,falkland-islands,falkland-islands,2025,3469,https://worldpopulationreview.com/countries/falkland-islands
Falkland Islands,falkland-islands,falkland-islands,2026,3465,https://worldpopulationreview.com/countries/falkland-islands
Faroe Islands,faroe-islands,faroe-islands,2024,55319,https://worldpopulationreview.com/countries/faroe-islands
Faroe Islands,faroe-islands,faroe-islands,2025,56002,https://worldpopulationreview.com/countries/faroe-islands
Faroe Islands,faroe-islands,faroe-islands,2026,56526,https://worldpopulationreview.com/countries/faroe-islands
Fiji,fiji,fiji,2024,929516,https://worldpopulationreview.com/countries/fiji
Fiji,fiji,fiji,2025,933154,https://worldpopulationreview.com/countries/fiji
Fiji,fiji,fiji,2026,937282,https://worldpopulationreview.com/countries/fiji
Finland,finland,finland,2024,5604586,https://worldpopulationreview.com/countries/finland
Finland,finland,finland,2025,5623329,https://worldpopulationreview.com/countries/finland
Finland,finland,finland,2026,5621739,https://worldpopulationreview.com/countries/finland
France,france,france,2024,66501699,https://worldpopulationreview.com/countries/france
France,france,france,2025,66650804,https://worldpopulationreview.com/countries/france
France,france,france,2026,66746401,https://worldpopulationreview.com/countries/france
French Guiana,french-guiana,french-guiana,2024,308744,https://worldpopulationreview.com/countries/french-guiana
French Guiana,french-guiana,french-guiana,2025,313666,https://worldpopulationreview.com/countries/french-guiana
French Guiana,french-guiana,french-guiana,2026,318872,https://worldpopulationreview.com/countries/french-guiana
French Polynesia,french-polynesia,french-polynesia,2024,281814,https://worldpopulationreview.com/countries/french-polynesia
French Polynesia,french-polynesia,french-polynesia,2025,282465,https://worldpopulationreview.com/countries/french-polynesia
French Polynesia,french-polynesia,french-polynesia,2026,283076,https://worldpopulationreview.com/countries/french-polynesia
Gabon,gabon,gabon,2024,2539012,https://worldpopulationreview.com/countries/gabon
Gabon,gabon,gabon,2025,2593130,https://worldpopulationreview.com/countries/gabon
Gabon,gabon,gabon,2026,2647399,https://worldpopulationreview.com/countries/gabon
Gambia,gambia,gambia,2024,2760821,https://worldpopulationreview.com/countries/gambia
Gambia,gambia,gambia,2025,2822093,https://worldpopulationreview.com/countries/gambia
Gambia,gambia,gambia,2026,2884079,https://worldpopulationreview.com/countries/gambia
Georgia,georgia,georgia,2024,3804472,https://worldpopulationreview.com/countries/georgia
Georgia,georgia,georgia,2025,3806671,https://worldpopulationreview.com/countries/georgia
Georgia,georgia,georgia,2026,3804642,https://worldpopulationreview.com/countries/georgia
Germany,germany,germany,2024,83985802,https://worldpopulationreview.com/countries/germany
Germany,germany,germany,2025,84075075,https://worldpopulationreview.com/countries/germany
Germany,germany,germany,2026,83644258,https://worldpopulationreview.com/countries/germany
Ghana,ghana,ghana,2024,34428979,https://worldpopulationreview.com/countries/ghana
Ghana,ghana,ghana,2025,35064272,https://worldpopulationreview.com/countries/ghana
Ghana,ghana,ghana,2026,35697557,https://worldpopulationreview.com/countries/ghana
Gibraltar,gibraltar,gibraltar,2024,39335,https://worldpopulationreview.com/countries/gibraltar
Gibraltar,gibraltar,gibraltar,2025,40126,https://worldpopulationreview.com/countries/gibraltar
Gibraltar,gibraltar,gibraltar,2026,40867,https://worldpopulationreview.com/countries/gibraltar
Greece,greece,greece,2024,10090949,https://worldpopulationreview.com/countries/greece
Greece,greece,greece,2025,9938844,https://worldpopulationreview.com/countries/greece
Greece,greece,greece,2026,9897115,https://worldpopulationreview.com/countries/greece
Greenland,greenland,greenland,2024,55812,https://worldpopulationreview.com/countries/greenland
Greenland,greenland,greenland,2025,55745,https://worldpopulationreview.com/countries/greenland
