Entity,Code,Depopulation_Risk_Score,Depopulation_Category,Super_Aged_Risk_Score,Super_Aged_Category,Actual_Depopulation_Flag,Actual_Super_Aged_Flag
China,CHN,0.5837,Moderate Risk,1.0,Super-Aged Expected,1,1
Colombia,COL,0.0143,Low Risk,0.4068,Non-Super-Aged,0,1
Comoros,COM,0.0007,Low Risk,0.0,Non-Super-Aged,0,0
Congo,COG,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Cook Islands,COK,1.0,High Risk,0.9965,Super-Aged Expected,1,1
Costa Rica,CRI,0.1189,Low Risk,0.9971,Super-Aged Expected,0,1
Cote d'Ivoire,CIV,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Croatia,HRV,0.9755,High Risk,1.0,Super-Aged Expected,1,1
Cuba,CUB,0.8754,High Risk,1.0,Super-Aged Expected,1,1
Curacao,CUW,0.5676,Moderate Risk,0.9999,Super-Aged Expected,1,1
Cyprus,CYP,0.0486,Low Risk,1.0,Super-Aged Expected,0,1
Czechia,CZE,0.8301,High Risk,1.0,Super-Aged Expected,1,1
Democratic Republic of Congo,COD,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Denmark,DNK,0.3854,Moderate Risk,1.0,Super-Aged Expected,0,1
Djibouti,DJI,0.0028,Low Risk,0.0,Non-Super-Aged,0,0
Dominica,DMA,0.8745,High Risk,0.7097,Super-Aged Expected,1,0
Dominican Republic,DOM,0.0264,Low Risk,0.0002,Non-Super-Aged,0,0
East Timor,TLS,0.0024,Low Risk,0.0,Non-Super-Aged,0,0
Ecuador,ECU,0.0158,Low Risk,0.0071,Non-Super-Aged,0,0
Egypt,EGY,0.0015,Low Risk,0.0,Non-Super-Aged,0,0
El Salvador,SLV,0.0713,Low Risk,0.0001,Non-Super-Aged,0,0
Equatorial Guinea,GNQ,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Eritrea,ERI,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Estonia,EST,0.9463,High Risk,1.0,Super-Aged Expected,1,1
Eswatini,SWZ,0.0059,Low Risk,0.0,Non-Super-Aged,0,0
Ethiopia,ETH,0.0,Low Risk,0.0,Non-Super-Aged,0,0
Falkland Islands,FLK,0.7595,High Risk,1.0,Super-Aged Expected,1,1
Faroe Islands,FRO,0.0818,Low Risk,0.9998,Super-Aged Expected,0,1
Fiji,FJI,0.0831,Low Risk,0.0,Non-Super-Aged,0,0
Finland,FIN,0.7811,High Risk,1.0,Super-Aged Expected,1,1
France,FRA,0.5872,Moderate Risk,1.0,Super-Aged Expected,0,1
French Guiana,GUF,0.0017,Low Risk,0.0,Non-Super-Aged,0,0
French Polynesia,PYF,0.2749,Low Risk,0.9998,Super-Aged Expected,0,1
Gabon,GAB,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Gambia,GMB,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Georgia,GEO,0.6182,High Risk,0.9938,Super-Aged Expected,1,1
Germany,DEU,0.8725,High Risk,1.0,Super-Aged Expected,1,1
Ghana,GHA,0.0005,Low Risk,0.0,Non-Super-Aged,0,0
Gibraltar,GIB,0.0033,Low Risk,1.0,Super-Aged Expected,0,1
Greece,GRC,0.9457,High Risk,1.0,Super-Aged Expected,1,1
Greenland,GRL,0.72,High Risk,0.1408,Non-Super-Aged,1,0
Grenada,GRD,0.416,Moderate Risk,0.7885,Super-Aged Expected,0,1
Guadeloupe,GLP,0.9653,High Risk,1.0,Super-Aged Expected,1,1
Guam,GUM,0.1015,Low Risk,0.1987,Non-Super-Aged,0,0
Guatemala,GTM,0.001,Low Risk,0.0,Non-Super-Aged,0,0
Guernsey,GGY,0.649,High Risk,1.0,Super-Aged Expected,0,1
Guinea,GIN,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Guinea-Bissau,GNB,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Guyana,GUY,0.048,Low Risk,0.0,Non-Super-Aged,0,0
Haiti,HTI,0.0056,Low Risk,0.0,Non-Super-Aged,0,0
Honduras,HND,0.0008,Low Risk,0.0,Non-Super-Aged,0,0
Hong Kong,HKG,0.9311,High Risk,1.0,Super-Aged Expected,1,1
Hungary,HUN,0.8921,High Risk,1.0,Super-Aged Expected,1,1
Iceland,ISL,0.0347,Low Risk,0.9999,Super-Aged Expected,0,1
India,IND,0.0114,Low Risk,0.0001,Non-Super-Aged,0,0
Indonesia,IDN,0.0234,Low Risk,0.0002,Non-Super-Aged,0,0
Iran,IRN,0.0249,Low Risk,0.6052,Super-Aged Expected,0,1
Iraq,IRQ,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Ireland,IRL,0.0444,Low Risk,1.0,Super-Aged Expected,0,1
Isle of Man,IMN,0.8601,High Risk,1.0,Super-Aged Expected,1,1
Israel,ISR,0.0061,Low Risk,0.2441,Non-Super-Aged,0,0
Italy,ITA,0.9369,High Risk,1.0,Super-Aged Expected,1,1
Jamaica,JAM,0.4135,Moderate Risk,0.0118,Non-Super-Aged,1,0
Japan,JPN,0.9778,High Risk,1.0,Super-Aged Expected,1,1
Jersey,JEY,0.6158,High Risk,1.0,Super-Aged Expected,0,1
Jordan,JOR,0.0001,Low Risk,0.0,Non-Super-Aged,0,0
Kazakhstan,KAZ,0.0129,Low Risk,0.0007,Non-Super-Aged,0,0
Kenya,KEN,0.0002,Low Risk,0.0,Non-Super-Aged,0,0
Kiribati,KIR,0.0025,Low Risk,0.0,Non-Super-Aged,0,0
Kosovo,OWID_KOS,0.6315,High Risk,0.5705,Super-Aged Expected,1,1
Kuwait,KWT,0.0016,Low Risk,0.4798,Non-Super-Aged,0,0
Kyrgyzstan,KGZ,0.0023,Low Risk,0.0,Non-Super-Aged,0,0
Laos,LAO,0.0028,Low Risk,0.0,Non-Super-Aged,0,0
Latvia,LVA,0.9789,High Risk,1.0,Super-Aged Expected,1,1
